movie_id,movie_title,director(s),top_5_cast
1311844,The Twisters,Michael Su,"Tiffany (Dr. Janet Evans)
Mark Justice (Dr. James Garland)
Kayla Fields (Dr. Erica Garland)
Paul Logan (Doug Cameron)
Curtis Strong (General Murphy)"
1084153,Sneaks,"Rob Edwards, Christopher Jenkins","Anthony Mackie (Ty (voice))
Martin Lawrence (J.B. (voice))
Swae Lee (Edson (voice))
Chloe Bailey (Maxine (voice))
Macy Gray (Adriana (voice))"
1425045,Brick,Philip Koch,"Matthias Schweighöfer (Tim)
Ruby O. Fee (Olivia)
Frederick Lau (Marvin)
Salber Lee Williams (Ana)
Murathan Muslu (Yuri)"
736350,Playboy Playmate Workout,Michael Trikilis,"Jeana Keough (Self (as Jeana Tomasino))
Victoria Cooke (Self)
Karen Lorre (Self)
Lisa Sohm (Self)
Kym Malin (Self)"
1376434,Predator: Killer of Killers,Dan Trachtenberg,"Lindsay LaVanchy (Ursa (voice))
Louis Ozawa (Kenji / Kiyoshi (voice))
Rick Gonzalez (Torres (voice))
Michael Biehn (Vandy (voice))
Doug Cockle (Einar (voice))"
1354253,The Girl Downstairs Extra: Promised Future,Dong Yi,"Cai Na
Su Shangqing
Qing Liu
Tong Yin
Liu Duanduan"
259872,Skin. Like. Sun.,"Jennifer Lyon Bell, Murielle Scherre","Wim van Damme (Self)
Floor Wyns (Self)"
870028,The Accountant²,Gavin O'Connor,"Ben Affleck (Christian Wolff)
Jon Bernthal (Braxton)
Cynthia Addai-Robinson (Marybeth Medina)
J.K. Simmons (Ray King)
Allison Robertson (Justine)"
1026222,Saint Clare,Mitzi Peirone,"Bella Thorne (Clare Bleecker)
Ryan Phillippe (Detective Timmons)
Rebecca De Mornay (Arlene 'Gigi' Newberry)
Frank Whaley (Mailman Bob)
Bart Johnson (Joe Morton / Randall Morton)"
713364,Clown in a Cornfield,Eli Craig,"Katie Douglas (Quinn Maybrook)
Aaron Abrams (Dr. Glenn Maybrook)
Carson MacCormac (Cole Hill)
Vincent Muller (Rust Vance)
Kevin Durand (Mayor Arthur Hill)"
1103731,In Vitro,"Tom McKeith, Will Howarth","Talia Zucker (Layla / New Layla / Original Layla)
Ashley Zukerman (Jack)
Daniel Ciurte (Young Toby)
Will Howarth (Brady)
Stephanie Arezzi (Other Layla)"
1181039,Candle in the Tomb: The Worm Valley,Dai Yilin,"Luo Liqun (Hu Ba Yi)
Zhang Weiwei (Wang Kaixuan)
Hu Xue'er (Shirley Yang)
Scotty Cox (Scott)
Song Jiateng (Da Jin Ya)"
1020910,Influencer,Kurtis David Harder,"Cassandra Naud (CW)
Emily Tennant (Madison)
Rory J. Saper (Ryan)
Sara Canning (Jessica)
Paul Spurrier (Rupert)"
1246310,Madea's Destination Wedding,Tyler Perry,"Tyler Perry (Madea / Brian / Joe)
Xavier Smalls (Zavier)
Diamond White (Tiffany)
Cassi Davis (Aunt Bam)
Tamela Mann (Cora)"
936108,Smurfs,Chris Miller,"Rihanna (Smurfette (voice))
James Corden (No Name (voice))
Nick Offerman (Ken (voice))
JP Karliak (Gargamel / Razamel (voice))
Dan Levy (Joel (voice))"
173705,Female Teacher: In Front of the Students,Yasuaki Uegaki,"Rushia Santô (Reiko / Teacher)
Rina Oka (Kumi / Girl Friend of Takuya)
Kyôko Sagami (Syôko / Teacher)
Toshiyuki Kitami (Akiyama / Teacher)
Toru Nakane (Takuya / High School Boy)"
829557,365 Days: This Day,"Barbara Białowąs, Tomasz Mandes","Anna-Maria Sieklucka (Laura Torricelli)
Michele Morrone (Massimo Torricelli / Adriano Torricelli)
Simone Susinna (Marcelo 'Nacho' Matos)
Magdalena Lamparska (Olga)
Otar Saralidze (Domenico)"
1365103,Marriage Unplugged,"Florine Nüesch, Kim Nüesch","Nikki Amuka-Bird (Suzanna)
Nicholas Gleaves (Andrew)
Sven Ironside (James)
Julia Pilkington (Sales Clerk)"
